direction	spBLEU	chrF++	len_ratio
ibo_Latn-lao_Laoo	17.12	35.01	0.907
lij_Latn-kaz_Cyrl	27.80	46.61	0.995
dan_Latn-gla_Latn	25.61	47.81	1.010
min_Latn-mya_Mymr	15.61	30.35	0.869
crh_Latn-ilo_Latn	17.42	45.47	1.066
fur_Latn-bod_Tibt	6.34	27.47	1.023
ltz_Latn-nso_Latn	23.59	47.44	1.003
azb_Arab-scn_Latn	9.98	31.43	1.052
lus_Latn-awa_Deva	10.64	24.63	1.023
tel_Telu-nob_Latn	25.96	48.22	0.953
nob_Latn-hau_Latn	21.97	46.05	0.984
tur_Latn-twi_Latn	12.25	34.74	0.996
azb_Arab-mni_Beng	14.47	26.52	1.000
dzo_Tibt-nno_Latn	9.72	30.89	0.920
ars_Arab-tso_Latn	19.17	45.38	1.048
ell_Grek-ltg_Latn	23.70	42.16	1.009
arz_Arab-mag_Deva	22.53	42.37	0.987
yor_Latn-uig_Arab	14.47	29.66	0.939
luo_Latn-dan_Latn	17.42	37.21	0.946
jpn_Jpan-min_Latn	14.86	39.00	0.941
uzn_Latn-slk_Latn	26.88	45.60	0.943
tpi_Latn-lit_Latn	19.25	39.05	0.975
bho_Deva-apc_Arab	19.84	35.31	0.966
san_Deva-amh_Ethi	16.77	24.57	1.029
ita_Latn-ces_Latn	30.37	47.46	0.992
sot_Latn-oci_Latn	25.29	44.55	0.929
guj_Gujr-ces_Latn	29.57	47.02	0.960
tam_Taml-uig_Arab	15.24	29.68	0.992
bho_Deva-gaz_Latn	9.82	34.19	1.025
pes_Arab-mos_Latn	4.95	22.42	1.012
nno_Latn-nob_Latn	33.13	54.50	0.988
nld_Latn-ben_Beng	25.21	39.40	1.012
gaz_Latn-tha_Thai	21.97	31.05	0.867
zul_Latn-est_Latn	22.44	43.82	1.008
apc_Arab-awa_Deva	14.33	31.78	0.981
pes_Arab-mkd_Cyrl	31.79	52.30	0.980
hne_Deva-isl_Latn	28.00	45.32	0.991
gla_Latn-mni_Beng	18.77	30.86	1.002
lua_Latn-war_Latn	15.04	37.75	0.906
mni_Beng-shn_Mymr	8.83	27.94	0.888
sna_Latn-srp_Cyrl	20.24	38.38	0.933
arb_Arab-uig_Arab	14.49	29.39	0.976
kas_Deva-cym_Latn	22.81	40.97	1.044
gla_Latn-scn_Latn	15.83	38.00	1.027
bem_Latn-aka_Latn	8.66	29.64	0.935
slv_Latn-kmb_Latn	3.86	24.46	0.907
apc_Arab-bos_Latn	28.07	48.55	0.976
tuk_Latn-ban_Latn	11.64	36.82	1.013
snd_Arab-isl_Latn	25.42	43.13	0.990
ben_Beng-est_Latn	24.98	46.50	0.996
hat_Latn-knc_Latn	4.74	22.50	0.988
mal_Mlym-kor_Hang	21.26	29.31	0.986
dzo_Tibt-tuk_Latn	10.12	28.13	0.907
tgl_Latn-ron_Latn	32.95	51.78	0.982
ell_Grek-mar_Deva	20.59	38.53	0.962
ron_Latn-ilo_Latn	22.92	49.04	1.012
kor_Hang-rus_Cyrl	26.88	44.49	0.995
ary_Arab-lug_Latn	8.60	33.85	1.077
als_Latn-pes_Arab	27.73	44.43	0.994
khm_Khmr-kor_Hang	17.40	26.49	1.044
mkd_Cyrl-srp_Cyrl	36.23	54.22	0.958
knc_Arab-eng_Latn	1.97	17.64	1.734
kor_Hang-vec_Latn	14.87	38.20	0.969
fur_Latn-dyu_Latn	2.89	19.81	0.970
lij_Latn-tpi_Latn	16.76	41.41	0.808
afr_Latn-kan_Knda	33.98	48.75	0.975
zsm_Latn-fon_Latn	5.50	19.37	1.061
tpi_Latn-bam_Latn	6.36	26.21	1.072
mar_Deva-isl_Latn	25.46	43.21	0.985
ydd_Hebr-asm_Beng	18.74	32.62	0.991
swe_Latn-sot_Latn	17.01	42.60	0.966
bug_Latn-hye_Armn	20.42	34.08	0.906
tso_Latn-mal_Mlym	19.93	34.28	0.893
lua_Latn-ceb_Latn	15.04	37.57	0.898
ceb_Latn-fon_Latn	5.93	21.49	1.057
szl_Latn-kmb_Latn	4.33	25.52	0.944
hat_Latn-som_Latn	14.07	37.99	0.969
scn_Latn-kan_Knda	28.19	43.57	0.982
est_Latn-tur_Latn	29.16	48.22	0.975
kin_Latn-lin_Latn	18.88	44.93	1.001
ars_Arab-vie_Latn	34.85	53.19	0.986
ind_Latn-kam_Latn	5.21	25.85	1.085
ckb_Arab-tat_Cyrl	23.76	42.20	0.979
sag_Latn-run_Latn	8.65	28.45	1.028
ban_Latn-mar_Deva	20.36	37.55	0.957
kaz_Cyrl-kor_Hang	21.21	28.85	0.972
kik_Latn-nld_Latn	15.41	36.40	1.043
lim_Latn-lij_Latn	24.59	41.99	0.988
gla_Latn-dik_Latn	3.80	20.70	1.453
mos_Latn-zul_Latn	9.32	28.14	1.007
wol_Latn-lmo_Latn	5.63	23.98	0.911
pes_Arab-ydd_Hebr	12.42	32.09	1.021
nno_Latn-kab_Latn	11.83	30.83	1.052
gle_Latn-twi_Latn	12.30	34.18	1.006
azb_Arab-uzn_Latn	13.54	33.20	0.973
yor_Latn-quy_Latn	3.91	24.56	1.044
kaz_Cyrl-ukr_Cyrl	29.47	47.29	0.956
azj_Latn-tir_Ethi	12.55	21.12	1.035
est_Latn-mai_Deva	15.87	35.11	0.992
lvs_Latn-kas_Deva	3.13	14.32	0.798
spa_Latn-mri_Latn	16.04	40.11	0.987
hye_Armn-afr_Latn	29.15	52.32	0.975
tam_Taml-quy_Latn	4.37	26.58	1.053
taq_Tfng-ces_Latn	6.00	20.53	1.012
jpn_Jpan-gle_Latn	21.97	41.70	1.002
ind_Latn-lug_Latn	10.97	36.88	1.086
pag_Latn-xho_Latn	13.07	34.20	0.927
uig_Arab-eus_Latn	17.14	39.78	0.953
tel_Telu-kab_Latn	12.65	31.22	1.030
ydd_Hebr-plt_Latn	19.18	46.32	1.057
kor_Hang-lij_Latn	19.09	37.10	1.014
kaz_Cyrl-deu_Latn	29.86	50.11	0.940
acm_Arab-taq_Latn	3.24	20.84	1.005
mkd_Cyrl-pag_Latn	16.37	42.99	1.116
knc_Latn-bjn_Arab	2.09	9.23	0.976
lao_Laoo-bho_Deva	15.14	34.23	0.931
khm_Khmr-deu_Latn	26.06	46.80	0.984
bjn_Arab-snd_Arab	10.48	26.16	1.107
lim_Latn-vec_Latn	20.07	42.74	0.993
bjn_Arab-kik_Latn	3.86	21.64	0.970
lit_Latn-kbp_Latn	9.79	27.29	0.997
arb_Arab-quy_Latn	4.59	26.69	0.995
cat_Latn-swe_Latn	39.81	58.56	0.998
gla_Latn-uzn_Latn	19.93	40.52	0.990
dzo_Tibt-ace_Arab	2.59	11.87	0.949
ace_Latn-prs_Arab	16.86	35.39	0.984
uzn_Latn-kir_Cyrl	24.36	42.41	1.010
lim_Latn-rus_Cyrl	31.44	47.78	0.965
bos_Latn-fon_Latn	5.24	19.95	1.034
azb_Arab-dik_Latn	2.38	18.21	1.473
quy_Latn-tam_Taml	12.37	29.23	0.949
kik_Latn-jav_Latn	11.55	34.02	1.059
mai_Deva-npi_Deva	28.76	47.31	0.982
luo_Latn-bel_Cyrl	13.84	28.44	0.808
tha_Thai-bjn_Arab	3.73	14.17	0.984
ary_Arab-kam_Latn	3.64	23.19	1.106
smo_Latn-mya_Mymr	11.67	25.62	0.823
wol_Latn-ltz_Latn	13.49	32.07	0.989
kam_Latn-glg_Latn	11.99	30.06	0.858
mri_Latn-mag_Deva	18.81	36.82	1.008
khm_Khmr-ukr_Cyrl	23.96	42.21	1.001
knc_Latn-isl_Latn	11.22	28.03	1.009
apc_Arab-shn_Mymr	11.07	29.66	0.882
hau_Latn-cym_Latn	32.28	48.56	0.989
tuk_Latn-srd_Latn	22.50	44.48	1.008
sna_Latn-bem_Latn	9.00	32.14	0.861
nya_Latn-kas_Arab	10.59	23.47	0.904
eng_Latn-som_Latn	18.20	42.87	1.004
lin_Latn-ckb_Arab	15.41	35.15	0.959
mni_Beng-bos_Latn	19.13	39.38	0.988
dik_Latn-taq_Latn	2.94	17.10	0.965
hun_Latn-nld_Latn	28.62	49.53	0.997
ajp_Arab-mos_Latn	4.16	21.12	1.017
tpi_Latn-apc_Arab	18.05	32.94	0.928
afr_Latn-fur_Latn	31.55	50.38	0.958
tsn_Latn-ilo_Latn	18.60	43.58	0.980
yue_Hant-ilo_Latn	17.64	43.98	1.003
zul_Latn-szl_Latn	21.63	38.10	0.959
tha_Thai-isl_Latn	22.47	40.16	0.983
san_Deva-ita_Latn	18.30	39.66	0.959
ast_Latn-pol_Latn	26.62	43.90	0.938
ajp_Arab-mkd_Cyrl	32.89	53.14	0.970
lim_Latn-nso_Latn	21.95	45.57	0.974
tpi_Latn-gaz_Latn	7.00	30.89	1.109
hin_Deva-crh_Latn	21.21	41.53	0.992
jpn_Jpan-bug_Latn	4.67	26.31	0.991
kaz_Cyrl-tum_Latn	9.44	31.11	0.773
tzm_Tfng-khm_Khmr	11.11	23.48	0.910
khm_Khmr-tum_Latn	9.16	30.67	0.844
aeb_Arab-ydd_Hebr	12.29	31.37	1.042
lug_Latn-taq_Tfng	4.23	14.43	0.766
hye_Armn-ceb_Latn	24.52	49.59	0.970
scn_Latn-fur_Latn	29.05	48.27	0.953
glg_Latn-yor_Latn	11.10	25.61	1.095
ary_Arab-nob_Latn	20.85	43.13	0.950
mlt_Latn-kmr_Latn	18.14	37.85	1.005
mya_Mymr-ayr_Latn	5.70	28.61	1.099
est_Latn-kas_Deva	3.26	14.63	0.806
lvs_Latn-mai_Deva	14.96	34.36	0.995
pan_Guru-tgl_Latn	28.28	53.55	0.961
shn_Mymr-kac_Latn	10.93	35.70	1.112
knc_Arab-hin_Deva	3.61	13.54	1.015
ben_Beng-szl_Latn	20.98	38.36	0.967
kab_Latn-arz_Arab	15.06	30.81	0.971
aka_Latn-acq_Arab	4.66	11.55	1.159
tum_Latn-ces_Latn	15.93	32.12	0.945
cym_Latn-khm_Khmr	22.31	35.64	0.877
amh_Ethi-kbp_Latn	8.48	25.15	0.980
hrv_Latn-gla_Latn	23.14	45.24	0.991
arz_Arab-pol_Latn	24.47	42.42	0.984
mni_Beng-awa_Deva	13.34	29.01	1.033
luo_Latn-jpn_Jpan	7.25	14.99	1.051
uig_Arab-heb_Hebr	21.77	37.82	0.925
kas_Deva-tha_Thai	21.91	30.27	0.965
kaz_Cyrl-por_Latn	32.09	52.12	0.979
tzm_Tfng-kac_Latn	7.64	31.45	1.127
twi_Latn-fin_Latn	16.29	36.70	0.978
hun_Latn-jav_Latn	19.89	45.33	0.951
kat_Geor-scn_Latn	15.26	37.98	1.013
shn_Mymr-khm_Khmr	14.54	29.23	0.918
aka_Latn-knc_Latn	5.26	22.93	1.007
lvs_Latn-tur_Latn	27.68	47.27	0.983
ajp_Arab-fij_Latn	19.98	45.69	1.024
som_Latn-zul_Latn	18.82	41.06	0.937
khk_Cyrl-nus_Latn	11.11	25.01	1.094
kat_Geor-mni_Beng	19.35	31.16	0.997
ace_Arab-lao_Laoo	10.70	25.41	1.017
fao_Latn-azj_Latn	17.62	36.03	0.930
als_Latn-sat_Beng	12.44	20.53	0.808
tso_Latn-tel_Telu	21.58	35.35	0.881
cym_Latn-kac_Latn	13.10	36.97	1.028
mag_Deva-ast_Latn	24.14	47.62	1.010
mlt_Latn-ron_Latn	38.70	56.38	1.007
khm_Khmr-sag_Latn	8.87	33.84	1.004
swe_Latn-ltg_Latn	27.34	45.97	0.988
kaz_Cyrl-sag_Latn	7.88	32.24	0.942
kan_Knda-ewe_Latn	12.86	35.13	1.034
ayr_Latn-ajp_Arab	6.43	19.01	1.196
luo_Latn-lim_Latn	10.73	29.78	0.893
asm_Beng-tpi_Latn	13.58	38.72	0.800
tat_Cyrl-vie_Latn	30.62	49.45	0.933
ace_Latn-urd_Arab	17.02	34.02	0.991
vec_Latn-ajp_Arab	25.00	41.01	0.968
kac_Latn-quy_Latn	3.50	24.15	1.126
umb_Latn-mni_Beng	8.75	19.03	0.778
lus_Latn-shn_Mymr	8.58	27.05	0.865
bho_Deva-lit_Latn	22.96	44.08	1.001
umb_Latn-scn_Latn	6.85	24.80	0.901
kea_Latn-spa_Latn	28.71	50.17	0.942
gaz_Latn-cym_Latn	25.38	42.77	0.985
grn_Latn-ewe_Latn	10.96	32.19	1.020
mar_Deva-bjn_Arab	3.32	11.56	0.879
san_Deva-pap_Latn	18.32	39.33	0.977
dyu_Latn-ace_Arab	2.00	11.22	0.876
lua_Latn-afr_Latn	15.02	35.81	0.945
kor_Hang-nso_Latn	16.64	41.83	1.022
fij_Latn-khk_Cyrl	13.61	29.73	0.940
ilo_Latn-ben_Beng	25.21	39.67	1.021
prs_Arab-quy_Latn	4.78	26.94	1.024
sat_Beng-ben_Beng	16.08	30.22	1.029
deu_Latn-tat_Cyrl	28.66	46.17	0.998
ind_Latn-nob_Latn	28.60	50.94	0.968
isl_Latn-zsm_Latn	27.85	52.17	0.965
khm_Khmr-por_Latn	29.70	50.05	1.011
taq_Tfng-ceb_Latn	7.88	29.01	1.007
knc_Latn-cat_Latn	14.25	32.44	1.013
kor_Hang-apc_Arab	19.56	35.18	0.947
gla_Latn-pes_Arab	22.93	40.51	0.977
bem_Latn-oci_Latn	18.86	37.62	0.924
kor_Hang-gaz_Latn	9.57	33.54	0.997
crh_Latn-lus_Latn	12.03	35.18	1.048
tgl_Latn-mya_Mymr	13.50	27.55	0.847
kac_Latn-som_Latn	8.59	31.27	1.025
mri_Latn-por_Latn	26.70	45.66	0.998
kmr_Latn-zho_Hans	19.10	18.27	0.937
ary_Arab-kat_Geor	24.26	39.85	0.924
crh_Latn-hat_Latn	20.97	44.06	1.009
ibo_Latn-sun_Latn	12.70	34.17	0.987
ban_Latn-amh_Ethi	22.23	29.88	1.020
kon_Latn-fon_Latn	4.92	19.51	0.955
bjn_Arab-ajp_Arab	10.64	25.99	1.065
tha_Thai-cat_Latn	28.21	48.21	0.983
pap_Latn-run_Latn	16.91	39.50	1.039
isl_Latn-mai_Deva	13.96	32.03	0.964
swe_Latn-ita_Latn	32.40	52.83	0.935
tum_Latn-afr_Latn	15.43	37.53	1.021
prs_Arab-som_Latn	13.75	38.41	1.000
npi_Deva-pbt_Arab	18.78	35.05	0.989
taq_Latn-ewe_Latn	7.54	26.34	1.017
ell_Grek-amh_Ethi	22.48	30.93	1.034
kbp_Latn-ayr_Latn	3.42	23.48	1.093
kir_Cyrl-lvs_Latn	19.37	40.52	0.934
sot_Latn-aka_Latn	9.61	31.17	0.928
min_Latn-kmr_Latn	15.19	34.82	0.992
asm_Beng-dyu_Latn	2.15	18.35	1.044
lus_Latn-kan_Knda	18.60	32.81	0.943
mri_Latn-sag_Latn	8.51	32.60	0.987
cjk_Latn-tha_Thai	9.33	19.48	0.876
hin_Deva-plt_Latn	19.22	46.48	1.049
tsn_Latn-kon_Latn	13.76	40.58	0.995
yue_Hant-kon_Latn	14.20	39.71	0.931
als_Latn-dik_Latn	3.90	21.54	1.374
npi_Deva-hrv_Latn	28.24	48.55	0.981
tur_Latn-prs_Arab	24.16	44.65	1.013
nus_Latn-taq_Latn	2.86	18.73	1.041
fuv_Latn-ckb_Arab	7.53	25.40	1.057
apc_Arab-kan_Knda	28.03	44.61	0.995
tuk_Latn-taq_Tfng	4.50	15.48	0.872
knc_Latn-dzo_Tibt	5.93	26.02	1.007
mri_Latn-tum_Latn	10.08	31.88	0.813
srd_Latn-luo_Latn	14.00	37.35	0.980
tha_Thai-dzo_Tibt	10.52	31.81	0.991
kas_Arab-kab_Latn	11.19	29.75	1.025
lvs_Latn-zsm_Latn	29.46	54.82	0.991
lua_Latn-ces_Latn	14.73	30.45	0.892
san_Deva-ltg_Latn	14.36	33.03	1.038
ind_Latn-kat_Geor	30.68	45.42	0.945
run_Latn-tam_Taml	19.90	38.55	0.921
azb_Arab-pes_Arab	17.15	34.19	0.991
min_Latn-ron_Latn	32.12	50.45	0.977
tpi_Latn-nso_Latn	15.86	39.95	1.028
glg_Latn-mri_Latn	17.72	41.32	0.974
lim_Latn-gaz_Latn	10.20	34.14	0.983
sun_Latn-slk_Latn	27.25	45.62	0.950
cat_Latn-sna_Latn	16.88	41.16	0.967
lit_Latn-umb_Latn	2.86	24.49	0.830
war_Latn-tha_Thai	30.79	38.62	0.935
aka_Latn-uig_Arab	16.47	32.03	0.976
als_Latn-uzn_Latn	26.46	46.12	0.970
jav_Latn-oci_Latn	26.04	45.71	0.929
aeb_Arab-xho_Latn	15.99	40.83	1.058
eng_Latn-quy_Latn	5.98	27.72	0.956
bel_Cyrl-aka_Latn	6.14	26.49	0.966
ltz_Latn-lit_Latn	30.36	50.75	0.994
urd_Arab-als_Latn	27.44	48.28	0.951
lug_Latn-srd_Latn	16.54	36.57	0.921
lim_Latn-apc_Arab	22.61	37.95	0.943
ewe_Latn-gle_Latn	16.37	35.24	0.933
hin_Deva-asm_Beng	21.58	35.15	0.975
ita_Latn-war_Latn	23.15	48.16	1.004
swe_Latn-pap_Latn	33.53	53.58	0.966
nso_Latn-aka_Latn	9.72	31.92	0.896
isl_Latn-tur_Latn	24.91	44.06	0.970
mal_Mlym-pol_Latn	24.20	41.92	0.952
guj_Gujr-war_Latn	23.50	48.64	0.977
arb_Arab-som_Latn	14.18	39.16	1.003
nso_Latn-azb_Arab	3.33	18.48	1.000
pan_Guru-ssw_Latn	15.66	40.47	1.033
kor_Hang-bam_Latn	5.34	26.02	1.037
vie_Latn-lao_Laoo	25.76	41.24	0.952
nya_Latn-min_Latn	16.99	39.76	0.947
mag_Deva-epo_Latn	30.19	51.80	1.006
khm_Khmr-mag_Deva	21.16	40.62	1.010
mri_Latn-ukr_Cyrl	19.91	37.72	0.979
azb_Arab-sat_Beng	10.02	17.57	0.829
sot_Latn-zho_Hant	9.45	10.70	0.642
spa_Latn-yor_Latn	8.11	23.13	1.103
ory_Orya-run_Latn	15.54	38.15	1.017
nya_Latn-fao_Latn	16.85	35.90	0.954
oci_Latn-ayr_Latn	7.02	31.70	1.143
mri_Latn-deu_Latn	22.74	43.26	0.969
tpi_Latn-rus_Cyrl	22.62	39.72	1.011
azj_Latn-kmb_Latn	3.48	23.82	0.910
mai_Deva-aeb_Arab	16.94	33.16	0.934
bel_Cyrl-azb_Arab	3.65	21.97	1.160
mar_Deva-cat_Latn	31.75	51.67	0.973
vec_Latn-kik_Latn	8.26	27.02	0.898
vec_Latn-snd_Arab	22.77	38.87	0.996
tpi_Latn-vec_Latn	15.25	36.53	0.979
pag_Latn-ydd_Hebr	8.61	26.35	0.915
twi_Latn-swh_Latn	16.54	39.27	0.928
hau_Latn-arz_Arab	18.92	34.69	0.980
san_Deva-sot_Latn	10.84	34.74	0.957
ayr_Latn-snd_Arab	8.80	20.79	0.983
sot_Latn-grn_Latn	12.44	32.34	1.032
ayr_Latn-kik_Latn	5.01	22.68	0.876
slk_Latn-ayr_Latn	6.98	29.82	1.032
ron_Latn-kon_Latn	17.90	43.87	0.990
est_Latn-zsm_Latn	30.55	55.51	0.977
cat_Latn-hau_Latn	24.40	47.79	1.002
kab_Latn-cym_Latn	23.87	41.33	0.991
lus_Latn-fur_Latn	12.69	31.57	0.926
fin_Latn-est_Latn	29.14	50.07	1.000
bod_Tibt-kea_Latn	5.44	23.09	0.801
khk_Cyrl-szl_Latn	16.46	33.85	0.942
tam_Taml-som_Latn	12.88	37.30	0.990
kaz_Cyrl-mag_Deva	23.19	42.35	0.969
tur_Latn-urd_Arab	23.90	42.44	0.973
pbt_Arab-tam_Taml	26.04	45.07	0.975
amh_Ethi-umb_Latn	2.80	24.63	0.814
jav_Latn-nya_Latn	16.30	42.05	0.973
ewe_Latn-bug_Latn	4.97	25.61	0.964
apc_Arab-fur_Latn	24.63	44.77	0.964
fur_Latn-tpi_Latn	16.60	41.58	0.818
acq_Arab-war_Latn	20.67	46.99	1.018
lij_Latn-dyu_Latn	3.12	19.92	0.978
srd_Latn-san_Deva	6.68	25.19	1.037
sna_Latn-bak_Cyrl	17.19	34.31	0.983
uzn_Latn-ind_Latn	29.71	54.71	0.966
hat_Latn-quy_Latn	4.68	25.69	0.983
bel_Cyrl-zho_Hant	10.04	10.70	0.701
tpi_Latn-lij_Latn	17.16	34.25	1.038
ben_Beng-nus_Latn	11.98	26.06	1.081
nso_Latn-grn_Latn	13.79	33.26	1.011
hrv_Latn-kin_Latn	19.39	42.92	0.994
sot_Latn-azb_Arab	2.91	17.68	1.044
afr_Latn-shn_Mymr	13.01	31.75	0.868
yor_Latn-som_Latn	10.64	33.46	0.944
gla_Latn-sat_Beng	12.20	20.12	0.836
mar_Deva-dzo_Tibt	11.47	32.81	0.982
bem_Latn-nya_Latn	11.99	38.39	1.059
bel_Cyrl-grn_Latn	8.89	29.42	1.045
nso_Latn-zho_Hant	8.94	10.46	0.638
fon_Latn-kab_Latn	5.97	22.66	0.986
bak_Cyrl-ace_Arab	4.06	15.27	0.926
kir_Cyrl-ory_Orya	17.78	31.97	0.900
zul_Latn-nus_Latn	13.34	26.93	1.032
scn_Latn-shn_Mymr	10.78	29.72	0.898
bug_Latn-fra_Latn	23.07	41.44	0.971
swh_Latn-spa_Latn	25.84	47.34	0.940
isl_Latn-kas_Deva	2.96	13.75	0.773
taq_Tfng-afr_Latn	6.72	25.60	1.027
lim_Latn-bam_Latn	6.71	27.19	1.019
hne_Deva-als_Latn	30.35	51.14	0.954
gaz_Latn-arz_Arab	15.60	31.27	0.963
hye_Armn-ces_Latn	30.65	48.06	0.958
bug_Latn-slv_Latn	17.00	36.54	0.948
pes_Arab-xho_Latn	16.99	41.47	1.049
ydd_Hebr-crh_Latn	20.02	40.27	0.992
tum_Latn-ceb_Latn	16.14	39.16	0.941
szl_Latn-tir_Ethi	14.31	22.78	1.019
mri_Latn-kor_Hang	15.49	23.13	1.015
snd_Arab-als_Latn	27.78	48.83	0.948
mag_Deva-khm_Khmr	22.02	34.90	0.856
bak_Cyrl-nno_Latn	19.74	42.04	0.958
umb_Latn-pes_Arab	7.26	20.20	0.900
yor_Latn-knc_Latn	4.53	21.76	0.994
lug_Latn-ban_Latn	9.76	31.91	0.956
ces_Latn-san_Deva	6.70	24.39	0.993
lvs_Latn-acm_Arab	11.81	28.67	1.354
plt_Latn-hrv_Latn	24.94	44.82	0.970
fra_Latn-bjn_Latn	17.81	44.34	0.966
tum_Latn-war_Latn	15.96	39.26	0.955
shn_Mymr-ast_Latn	14.49	36.88	1.051
fra_Latn-ibo_Latn	16.53	37.24	1.006
ell_Grek-pap_Latn	28.01	48.82	0.990
plt_Latn-pbt_Arab	15.52	31.38	1.001
kas_Arab-lug_Latn	8.36	33.45	1.081
cjk_Latn-cym_Latn	11.51	27.83	1.054
crh_Latn-kon_Latn	17.01	42.78	0.980
fao_Latn-arb_Arab	26.54	42.07	0.937
tel_Telu-kat_Geor	28.98	43.88	0.936
ast_Latn-kor_Hang	21.57	29.31	0.968
tat_Cyrl-knc_Arab	5.13	7.29	0.825
mar_Deva-als_Latn	27.77	48.83	0.944
tam_Taml-acq_Arab	11.02	22.80	1.095
ban_Latn-pap_Latn	23.63	44.99	0.950
mni_Beng-kan_Knda	23.18	38.82	0.986
twi_Latn-lua_Latn	6.91	30.69	1.056
yue_Hant-hat_Latn	17.51	40.32	0.985
tsn_Latn-hat_Latn	15.93	38.02	1.058
kor_Hang-lit_Latn	23.08	44.11	0.992
mlt_Latn-mya_Mymr	14.60	28.80	0.856
kam_Latn-mal_Mlym	10.34	21.78	0.821
mkd_Cyrl-bak_Cyrl	28.34	46.39	0.998
hne_Deva-dzo_Tibt	10.72	32.57	0.979
yue_Hant-lus_Latn	11.00	34.25	1.031
tsn_Latn-lus_Latn	10.34	33.48	1.098
pap_Latn-ltz_Latn	28.23	48.64	0.997
arb_Arab-acq_Arab	29.03	41.82	0.937
bho_Deva-nso_Latn	18.67	43.55	1.024
tgk_Cyrl-sin_Sinh	27.38	36.24	0.904
fon_Latn-nob_Latn	9.14	28.22	0.928
pag_Latn-fij_Latn	16.77	39.40	0.847
gle_Latn-urd_Arab	22.63	41.57	0.995
acq_Arab-ceb_Latn	25.42	50.47	0.997
arz_Arab-kor_Hang	19.03	26.92	0.982
kat_Geor-pes_Arab	23.20	40.58	0.987
epo_Latn-ssw_Latn	15.77	40.21	1.017
snd_Arab-dzo_Tibt	10.70	32.60	1.006
slv_Latn-tir_Ethi	13.72	21.92	1.002
swe_Latn-amh_Ethi	24.71	32.77	1.018
lim_Latn-lit_Latn	26.36	47.05	0.975
hat_Latn-uig_Arab	15.44	29.50	0.939
war_Latn-cym_Latn	42.25	57.39	0.996
ltz_Latn-apc_Arab	25.49	40.69	0.963
bam_Latn-swe_Latn	15.65	34.89	0.987
ban_Latn-ita_Latn	24.11	45.29	0.947
bul_Cyrl-fuv_Latn	3.74	22.08	1.136
bak_Cyrl-tuk_Latn	20.67	40.44	0.901
arz_Arab-ukr_Cyrl	27.04	45.24	0.995
tso_Latn-glg_Latn	23.58	43.84	0.925
ltz_Latn-gaz_Latn	10.51	35.19	1.015
arz_Arab-deu_Latn	29.64	50.02	0.981
bjn_Latn-spa_Latn	23.16	44.99	0.918
arb_Arab-knc_Latn	4.98	24.21	1.026
spa_Latn-ckb_Arab	18.03	39.70	1.053
mag_Deva-kac_Latn	13.95	38.21	1.008
ita_Latn-afr_Latn	27.84	51.70	1.021
nya_Latn-gle_Latn	22.01	41.19	0.958
hin_Deva-fra_Latn	38.75	56.88	0.981
cym_Latn-ast_Latn	27.61	50.93	1.017
hne_Deva-cat_Latn	35.82	55.22	0.981
yor_Latn-acq_Arab	4.08	11.16	1.228
guj_Gujr-afr_Latn	30.46	53.48	0.969
xho_Latn-hrv_Latn	24.82	44.39	0.975
kas_Arab-kam_Latn	3.32	22.73	1.195
fur_Latn-kaz_Cyrl	27.56	46.53	0.997
por_Latn-spa_Latn	31.10	52.13	0.941
ast_Latn-ukr_Cyrl	30.21	47.79	0.942
lmo_Latn-ben_Beng	25.66	40.59	1.026
ace_Arab-sun_Latn	7.16	28.46	1.096
ast_Latn-deu_Latn	33.81	53.07	0.945
nno_Latn-kat_Geor	29.63	44.82	0.951
hin_Deva-slv_Latn	28.11	48.43	0.960
pap_Latn-lmo_Latn	8.68	32.26	0.916
xho_Latn-pbt_Arab	17.25	32.60	0.977
lit_Latn-hun_Latn	28.04	46.83	0.974
snd_Arab-cat_Latn	32.35	52.21	0.979
pag_Latn-mos_Latn	4.39	19.85	0.893
tam_Taml-knc_Latn	4.61	23.23	1.027
ell_Grek-ita_Latn	29.32	50.22	0.962
mal_Mlym-mag_Deva	26.69	46.07	0.975
pag_Latn-mkd_Cyrl	22.60	41.57	0.874
kin_Latn-yue_Hant	10.16	13.39	0.816
ltg_Latn-ben_Beng	26.22	41.17	1.009
nob_Latn-swe_Latn	36.89	56.63	0.997
lij_Latn-bod_Tibt	6.00	27.15	0.997
tzm_Tfng-ast_Latn	11.48	33.18	1.030
guj_Gujr-ceb_Latn	25.53	50.86	0.976
ewe_Latn-fao_Latn	11.84	30.18	0.912
khm_Khmr-pol_Latn	21.38	39.35	0.999
ita_Latn-ceb_Latn	23.95	49.25	1.018
afr_Latn-awa_Deva	20.11	38.33	0.995
scn_Latn-bos_Latn	29.02	48.81	0.966
kab_Latn-tha_Thai	19.39	29.33	0.902
knc_Latn-als_Latn	11.17	30.66	0.967
pol_Latn-ibo_Latn	14.05	34.70	0.983
smo_Latn-ron_Latn	25.31	44.16	0.954
asm_Beng-bod_Tibt	6.24	26.96	0.995
fuv_Latn-yor_Latn	6.61	19.80	1.141
ces_Latn-luo_Latn	11.80	35.61	0.975
zho_Hant-ace_Latn	3.82	24.83	1.222
pol_Latn-bjn_Latn	13.87	40.06	0.950
tha_Thai-als_Latn	24.91	45.85	0.970
