direction	spBLEU	chrF++	len_ratio
ewe_Latn-pes_Arab	13.77	30.18	0.903
kor_Hang-kon_Latn	14.50	40.87	0.987
lin_Latn-oci_Latn	20.32	39.06	0.913
lvs_Latn-zho_Hans	18.89	17.14	0.761
ita_Latn-vie_Latn	33.78	53.16	1.032
swh_Latn-wol_Latn	7.62	27.45	1.126
swh_Latn-bul_Cyrl	33.63	51.77	0.982
bul_Cyrl-luo_Latn	11.68	35.78	0.987
nso_Latn-yor_Latn	6.44	22.29	1.156
kon_Latn-cjk_Latn	2.72	21.24	0.878
bel_Cyrl-yor_Latn	8.96	23.17	1.089
fin_Latn-tat_Cyrl	25.59	43.50	1.002
tso_Latn-urd_Arab	17.19	34.05	0.897
ace_Latn-tel_Telu	22.70	36.86	0.971
rus_Cyrl-cym_Latn	35.87	52.83	1.005
kon_Latn-lin_Latn	13.49	38.52	0.927
sin_Sinh-ita_Latn	25.93	47.00	0.919
swh_Latn-tam_Taml	26.71	45.00	0.935
tso_Latn-sin_Sinh	18.26	27.34	0.704
bul_Cyrl-kik_Latn	10.87	32.53	0.969
bul_Cyrl-snd_Arab	22.01	39.24	1.039
fuv_Latn-tso_Latn	8.56	30.86	1.091
yor_Latn-bul_Cyrl	20.96	38.79	0.930
yor_Latn-wol_Latn	6.12	24.36	1.142
fuv_Latn-vie_Latn	12.98	29.14	1.005
cym_Latn-lvs_Latn	29.21	49.75	0.965
arb_Arab-wol_Latn	6.67	27.15	1.175
arb_Arab-bul_Cyrl	38.07	56.12	1.003
tam_Taml-wol_Latn	6.00	26.03	1.212
tam_Taml-bul_Cyrl	32.46	50.65	0.986
ayr_Latn-fuv_Latn	2.52	16.91	1.129
por_Latn-tam_Taml	30.74	48.72	0.956
bel_Cyrl-afr_Latn	19.75	43.70	0.995
nso_Latn-afr_Latn	27.38	49.20	0.975
ita_Latn-oci_Latn	29.22	49.82	0.992
urd_Arab-rus_Cyrl	29.44	46.79	0.981
vie_Latn-kor_Hang	21.73	29.62	0.989
eng_Latn-wol_Latn	8.94	29.68	1.160
sin_Sinh-mar_Deva	21.54	39.32	0.943
eng_Latn-bul_Cyrl	51.24	66.20	0.990
kon_Latn-yue_Hant	7.83	10.52	0.751
snd_Arab-nso_Latn	22.40	46.72	1.007
snd_Arab-rus_Cyrl	29.24	46.85	1.007
urd_Arab-nso_Latn	20.22	44.86	1.003
lin_Latn-vie_Latn	26.53	43.90	0.937
vie_Latn-por_Latn	34.50	54.13	1.001
kin_Latn-fon_Latn	5.42	20.06	1.026
kea_Latn-tam_Taml	28.22	46.27	0.969
tat_Cyrl-yor_Latn	7.43	21.23	1.003
cym_Latn-cjk_Latn	3.60	23.85	0.987
luo_Latn-kin_Latn	11.52	32.88	0.959
mar_Deva-rus_Cyrl	29.50	46.94	0.980
lin_Latn-tso_Latn	18.35	41.88	0.976
kor_Hang-isl_Latn	23.09	40.96	1.008
mar_Deva-nso_Latn	19.39	44.46	1.009
ace_Latn-hau_Latn	19.03	40.82	0.999
twi_Latn-pes_Arab	16.97	33.23	0.968
fin_Latn-sin_Sinh	25.74	34.59	0.864
por_Latn-run_Latn	17.94	40.75	1.039
vie_Latn-kea_Latn	15.55	35.99	0.895
ace_Latn-eus_Latn	16.25	37.11	0.937
mal_Mlym-arb_Arab	29.77	45.08	0.931
fon_Latn-mal_Mlym	11.53	25.11	0.950
isl_Latn-tso_Latn	17.90	42.94	1.043
mar_Deva-ast_Latn	22.44	46.09	1.011
kor_Hang-lvs_Latn	22.15	43.37	0.961
fon_Latn-tel_Telu	11.25	24.48	0.905
mal_Mlym-tsn_Latn	19.10	43.15	0.960
tam_Taml-ewe_Latn	13.01	34.95	1.006
isl_Latn-vie_Latn	31.75	49.55	0.972
luo_Latn-pes_Arab	15.20	31.07	0.903
arb_Arab-ewe_Latn	13.90	36.01	1.006
yor_Latn-ewe_Latn	11.15	31.46	0.950
snd_Arab-ast_Latn	21.29	44.96	1.034
eus_Latn-fuv_Latn	3.87	21.75	1.092
swh_Latn-run_Latn	16.40	39.29	1.054
urd_Arab-ast_Latn	21.73	45.18	1.004
twi_Latn-kin_Latn	13.13	36.47	1.061
tsn_Latn-fon_Latn	5.54	20.74	1.006
yue_Hant-fon_Latn	3.82	16.56	1.101
fra_Latn-kik_Latn	12.68	34.27	0.943
fra_Latn-snd_Arab	22.48	39.47	1.047
eng_Latn-ewe_Latn	16.90	39.02	1.012
tir_Ethi-fuv_Latn	3.37	20.26	1.109
ita_Latn-zho_Hans	20.09	18.45	0.779
zho_Hans-luo_Latn	10.30	33.56	1.015
kea_Latn-run_Latn	15.36	37.69	1.045
lvs_Latn-vie_Latn	34.25	52.75	0.994
rus_Cyrl-tir_Ethi	13.92	22.56	1.010
kor_Hang-cjk_Latn	2.53	22.12	0.960
cym_Latn-isl_Latn	30.19	47.63	1.028
hin_Deva-ayr_Latn	6.25	30.28	1.130
oci_Latn-fra_Latn	46.86	65.63	1.086
lvs_Latn-tso_Latn	17.51	43.38	1.056
ast_Latn-tsn_Latn	20.75	43.68	0.933
nso_Latn-hin_Deva	24.73	41.86	0.915
bel_Cyrl-hin_Deva	20.57	39.22	0.987
ast_Latn-arb_Arab	31.78	46.91	0.929
bel_Cyrl-eng_Latn	21.86	50.23	1.223
nso_Latn-eng_Latn	37.72	59.77	1.136
tel_Telu-mal_Mlym	34.04	47.43	0.970
ace_Latn-kor_Hang	16.43	23.16	0.987
kin_Latn-vie_Latn	30.35	47.63	0.962
twi_Latn-fra_Latn	22.94	40.34	1.000
afr_Latn-ewe_Latn	15.26	36.96	1.000
tat_Cyrl-lin_Latn	14.04	41.20	0.967
ace_Latn-por_Latn	26.73	44.95	0.958
fin_Latn-ita_Latn	29.46	49.95	0.955
ast_Latn-twi_Latn	11.91	33.43	0.972
cym_Latn-afr_Latn	38.07	59.39	0.988
ita_Latn-ast_Latn	24.39	49.21	1.062
mal_Mlym-urd_Arab	23.79	42.03	0.960
tir_Ethi-run_Latn	12.35	34.14	0.984
hin_Deva-swh_Latn	27.48	51.06	0.963
pes_Arab-tir_Ethi	14.16	22.77	1.019
kin_Latn-tso_Latn	19.55	44.21	1.026
vie_Latn-hau_Latn	21.55	45.82	1.034
kea_Latn-fuv_Latn	3.95	21.23	1.110
nso_Latn-lvs_Latn	21.79	41.70	0.970
bel_Cyrl-lvs_Latn	19.91	42.22	0.999
lin_Latn-fon_Latn	5.79	20.35	0.982
kor_Hang-hin_Deva	24.33	42.44	0.952
hin_Deva-fin_Latn	25.85	46.84	1.006
fuv_Latn-fon_Latn	3.00	15.25	1.260
snd_Arab-zho_Hans	22.48	19.14	0.895
oci_Latn-kin_Latn	23.48	47.80	1.045
fin_Latn-mar_Deva	20.39	38.02	0.956
tat_Cyrl-yue_Hant	11.01	13.45	0.783
eus_Latn-run_Latn	15.91	38.53	1.032
kor_Hang-eng_Latn	32.85	55.94	1.048
urd_Arab-zho_Hans	21.70	18.80	0.855
swh_Latn-fuv_Latn	4.78	22.59	1.049
ast_Latn-urd_Arab	22.43	41.27	0.947
mal_Mlym-twi_Latn	11.54	34.31	1.003
por_Latn-fuv_Latn	4.59	22.72	1.081
ayr_Latn-tam_Taml	11.11	26.86	0.933
run_Latn-kik_Latn	10.05	30.60	0.916
run_Latn-snd_Arab	15.07	30.73	1.016
kon_Latn-yor_Latn	4.94	18.44	1.035
nso_Latn-cjk_Latn	3.62	23.29	0.931
bel_Cyrl-cjk_Latn	2.22	22.20	0.985
mar_Deva-zho_Hans	20.97	18.61	0.816
oci_Latn-pes_Arab	30.31	47.31	1.033
hin_Deva-bel_Cyrl	22.79	38.07	0.887
wol_Latn-kik_Latn	5.05	22.46	0.980
wol_Latn-snd_Arab	11.23	26.40	1.067
tso_Latn-ita_Latn	22.46	42.19	0.916
kor_Hang-afr_Latn	23.96	47.47	0.960
tsn_Latn-tso_Latn	19.19	43.27	1.012
yue_Hant-tso_Latn	16.28	41.11	1.033
afr_Latn-bul_Cyrl	43.13	59.66	0.997
tel_Telu-ace_Latn	8.05	31.93	0.954
afr_Latn-wol_Latn	7.94	28.36	1.172
tir_Ethi-tam_Taml	21.69	40.68	0.934
hin_Deva-jpn_Jpan	15.87	22.36	0.942
tsn_Latn-vie_Latn	26.58	44.19	0.964
yue_Hant-vie_Latn	30.56	49.73	0.971
mal_Mlym-tat_Cyrl	24.98	43.13	0.990
lvs_Latn-fon_Latn	4.87	19.86	1.039
ita_Latn-nso_Latn	17.54	43.72	1.068
bel_Cyrl-isl_Latn	18.54	38.26	1.052
isl_Latn-fon_Latn	5.22	20.16	1.014
nso_Latn-isl_Latn	23.68	40.91	0.994
luo_Latn-fra_Latn	20.79	38.47	0.995
ace_Latn-kea_Latn	10.82	28.89	0.816
snd_Arab-oci_Latn	25.86	46.12	0.949
vie_Latn-eus_Latn	21.28	43.53	0.959
ast_Latn-tat_Cyrl	27.37	44.67	0.966
ayr_Latn-run_Latn	7.77	26.34	0.941
tat_Cyrl-kon_Latn	13.51	39.47	0.934
urd_Arab-oci_Latn	25.23	45.58	0.932
tso_Latn-mar_Deva	15.62	31.65	0.863
ita_Latn-rus_Cyrl	31.68	49.00	1.009
cym_Latn-eng_Latn	53.25	73.82	1.125
fon_Latn-ace_Latn	4.56	24.21	1.013
pes_Arab-cym_Latn	37.43	54.15	1.002
eus_Latn-tam_Taml	25.48	43.90	0.937
mar_Deva-oci_Latn	25.54	45.91	0.935
cym_Latn-hin_Deva	32.65	50.61	0.967
cjk_Latn-eus_Latn	7.08	25.73	1.032
fuv_Latn-snd_Arab	7.63	21.90	1.163
fuv_Latn-kik_Latn	4.17	21.36	1.004
por_Latn-lin_Latn	19.51	47.00	1.041
yor_Latn-cjk_Latn	2.72	21.58	0.936
bul_Cyrl-tso_Latn	19.04	45.31	1.072
arb_Arab-cjk_Latn	2.72	23.33	0.984
kea_Latn-yue_Hant	13.50	15.42	0.863
jpn_Jpan-kea_Latn	12.01	33.06	0.860
tam_Taml-cjk_Latn	2.70	22.48	0.992
tel_Telu-fra_Latn	35.07	55.35	1.086
ayr_Latn-yor_Latn	6.20	17.95	1.015
oci_Latn-tel_Telu	32.61	48.96	1.025
kik_Latn-kor_Hang	9.67	18.31	1.119
ita_Latn-luo_Latn	12.33	36.09	0.999
afr_Latn-eng_Latn	57.07	74.95	1.075
bul_Cyrl-vie_Latn	36.16	54.42	0.994
sin_Sinh-swh_Latn	24.22	47.95	0.961
swh_Latn-lin_Latn	17.74	44.66	1.012
eng_Latn-lvs_Latn	35.46	54.92	0.967
run_Latn-fon_Latn	5.20	20.05	1.019
kik_Latn-por_Latn	22.12	40.42	0.980
oci_Latn-mal_Mlym	33.33	48.35	1.016
afr_Latn-hin_Deva	32.98	50.81	0.959
kon_Latn-tam_Taml	14.61	30.76	0.816
sin_Sinh-fin_Latn	22.85	43.44	1.013
por_Latn-yue_Hant	12.95	15.87	0.818
tso_Latn-ayr_Latn	5.34	27.52	1.090
kea_Latn-lin_Latn	17.96	43.88	1.027
fon_Latn-fra_Latn	13.37	30.64	0.948
tam_Taml-lvs_Latn	22.71	43.83	0.963
hau_Latn-eus_Latn	18.29	40.06	0.975
arb_Arab-lvs_Latn	27.43	48.21	0.967
cym_Latn-wol_Latn	7.16	27.40	1.209
cym_Latn-bul_Cyrl	41.67	58.81	0.993
yor_Latn-lvs_Latn	14.64	33.96	0.917
rus_Cyrl-tat_Cyrl	30.59	48.18	1.012
kor_Hang-ewe_Latn	11.92	34.01	1.027
luo_Latn-ace_Latn	6.97	28.08	0.917
swh_Latn-yue_Hant	11.71	14.76	0.809
ewe_Latn-kea_Latn	6.57	23.21	0.772
eng_Latn-cjk_Latn	4.00	24.91	0.963
lin_Latn-snd_Arab	16.66	32.04	0.992
lin_Latn-kik_Latn	8.85	28.80	0.869
tat_Cyrl-fuv_Latn	3.51	20.53	1.031
pes_Arab-tsn_Latn	20.26	43.99	0.975
kon_Latn-run_Latn	11.20	31.70	0.969
sin_Sinh-bel_Cyrl	21.24	36.50	0.877
isl_Latn-snd_Arab	18.69	34.98	1.020
isl_Latn-kik_Latn	10.65	31.82	0.917
rus_Cyrl-twi_Latn	11.40	34.17	0.990
kea_Latn-kon_Latn	17.85	43.61	1.005
pes_Arab-arb_Arab	31.65	47.05	0.959
hin_Deva-sin_Sinh	30.20	38.61	0.880
sin_Sinh-jpn_Jpan	14.24	20.84	0.947
eus_Latn-yor_Latn	10.32	24.16	1.047
twi_Latn-ace_Latn	7.25	28.81	0.950
zho_Hans-oci_Latn	21.37	42.14	0.982
yor_Latn-isl_Latn	17.12	34.22	0.959
tam_Taml-isl_Latn	23.46	41.57	1.035
ewe_Latn-por_Latn	18.07	36.62	0.915
arb_Arab-isl_Latn	26.47	44.83	1.037
ewe_Latn-kor_Hang	9.33	17.46	0.984
fin_Latn-ayr_Latn	6.24	29.71	1.105
por_Latn-kon_Latn	17.50	43.98	0.999
jpn_Jpan-por_Latn	27.89	48.68	0.980
wol_Latn-fon_Latn	4.02	16.79	1.185
eng_Latn-isl_Latn	35.27	51.52	0.993
rus_Cyrl-urd_Arab	22.34	40.81	0.963
tir_Ethi-yor_Latn	9.06	22.43	1.035
cym_Latn-ewe_Latn	14.67	36.05	1.004
jpn_Jpan-kor_Hang	21.50	28.68	0.950
fra_Latn-tso_Latn	20.32	46.05	1.070
fra_Latn-vie_Latn	37.26	55.05	1.004
kor_Hang-bul_Cyrl	30.52	48.87	0.993
kor_Hang-wol_Latn	5.84	25.03	1.164
kik_Latn-kea_Latn	3.57	16.09	0.672
lvs_Latn-kik_Latn	9.94	31.14	0.931
lvs_Latn-snd_Arab	19.99	37.17	1.041
swh_Latn-kon_Latn	15.50	42.79	0.989
cjk_Latn-hau_Latn	6.29	26.58	1.051
luo_Latn-tel_Telu	14.43	26.66	0.787
hin_Deva-ita_Latn	27.91	49.01	0.928
tso_Latn-jpn_Jpan	4.53	18.06	1.310
eus_Latn-kon_Latn	15.66	41.84	0.994
afr_Latn-isl_Latn	31.15	48.33	1.016
hau_Latn-kea_Latn	11.25	29.69	0.859
tso_Latn-bel_Cyrl	18.61	33.52	0.865
ayr_Latn-yue_Hant	5.61	8.13	0.818
luo_Latn-mal_Mlym	14.83	27.73	0.840
tat_Cyrl-tam_Taml	23.59	41.87	0.887
kea_Latn-yor_Latn	9.78	24.46	1.125
kin_Latn-kik_Latn	10.28	30.66	0.894
kin_Latn-snd_Arab	18.20	34.07	1.006
zho_Hans-nso_Latn	17.06	42.10	1.032
mal_Mlym-tir_Ethi	14.55	22.84	1.012
fon_Latn-pes_Arab	9.17	24.61	0.944
eng_Latn-afr_Latn	45.46	65.27	0.981
fin_Latn-swh_Latn	23.79	47.71	0.976
pes_Arab-urd_Arab	23.61	42.43	0.963
zho_Hans-rus_Cyrl	26.86	45.38	1.024
ewe_Latn-eus_Latn	12.38	32.89	0.912
tel_Telu-pes_Arab	26.99	43.51	0.958
swh_Latn-yor_Latn	7.25	22.93	1.158
nso_Latn-bul_Cyrl	30.13	48.31	0.956
bel_Cyrl-wol_Latn	4.83	24.73	1.233
bel_Cyrl-bul_Cyrl	27.45	47.86	1.033
cjk_Latn-kea_Latn	4.61	20.06	0.826
nso_Latn-wol_Latn	8.02	27.87	1.144
bul_Cyrl-fon_Latn	5.01	20.02	1.029
hin_Deva-mar_Deva	25.52	43.39	0.961
arb_Arab-afr_Latn	30.90	53.90	0.986
ayr_Latn-lin_Latn	10.12	32.62	0.919
tam_Taml-afr_Latn	26.42	49.45	0.967
run_Latn-vie_Latn	26.11	43.73	0.959
kik_Latn-hau_Latn	13.05	34.99	1.026
ast_Latn-tir_Ethi	14.70	22.85	1.006
oci_Latn-ace_Latn	10.05	34.77	0.982
jpn_Jpan-eus_Latn	18.40	40.28	0.911
yor_Latn-afr_Latn	17.71	39.36	0.931
kon_Latn-fuv_Latn	3.79	19.96	1.007
tir_Ethi-kon_Latn	12.86	39.31	0.993
run_Latn-tso_Latn	17.26	41.90	1.042
rus_Cyrl-tsn_Latn	19.14	43.31	0.984
por_Latn-yor_Latn	9.81	25.09	1.118
pes_Arab-twi_Latn	11.59	34.21	0.996
rus_Cyrl-arb_Arab	30.32	45.46	0.954
arb_Arab-hin_Deva	29.11	47.86	0.956
fin_Latn-jpn_Jpan	14.55	22.35	1.008
fra_Latn-fon_Latn	5.34	20.34	1.075
yue_Hant-kik_Latn	7.78	27.91	0.887
tsn_Latn-snd_Arab	16.76	32.21	1.023
yue_Hant-snd_Arab	18.36	34.96	1.013
tsn_Latn-kik_Latn	11.22	32.48	0.896
tam_Taml-hin_Deva	27.47	45.70	0.937
tel_Telu-kin_Latn	19.97	43.45	1.005
yor_Latn-hin_Deva	17.85	34.61	0.884
cjk_Latn-kor_Hang	6.39	12.66	1.052
ast_Latn-cym_Latn	39.95	55.77	0.960
tam_Taml-eng_Latn	28.98	56.98	1.325
cjk_Latn-por_Latn	12.07	28.91	0.942
ayr_Latn-kon_Latn	8.78	31.58	0.884
arb_Arab-eng_Latn	37.82	64.08	1.212
wol_Latn-tso_Latn	12.34	35.44	1.066
mar_Deva-luo_Latn	12.13	35.93	0.981
fin_Latn-bel_Cyrl	23.98	39.18	0.913
eus_Latn-yue_Hant	12.05	14.30	0.829
tat_Cyrl-run_Latn	13.51	35.31	0.978
yor_Latn-eng_Latn	21.38	44.65	1.189
tir_Ethi-lin_Latn	14.05	40.74	0.970
jpn_Jpan-hau_Latn	17.96	42.40	0.993
afr_Latn-cjk_Latn	3.74	24.22	0.987
snd_Arab-luo_Latn	12.52	35.93	0.978
wol_Latn-vie_Latn	19.19	36.00	0.989
kik_Latn-eus_Latn	13.07	33.51	1.015
urd_Arab-luo_Latn	11.62	35.33	0.957
pes_Arab-tat_Cyrl	25.39	43.59	0.985
tso_Latn-swh_Latn	21.58	44.26	0.911
hau_Latn-por_Latn	29.79	48.64	0.976
ewe_Latn-hau_Latn	12.28	33.98	0.933
zho_Hans-ast_Latn	16.12	38.69	1.079
bel_Cyrl-ewe_Latn	10.77	32.78	1.027
twi_Latn-mal_Mlym	18.63	32.40	0.955
nso_Latn-ewe_Latn	14.38	35.64	0.991
eus_Latn-lin_Latn	16.99	44.22	1.037
twi_Latn-tel_Telu	18.83	32.43	0.920
tso_Latn-fin_Latn	20.38	41.07	0.955
sin_Sinh-ayr_Latn	5.09	28.55	1.259
hau_Latn-kor_Hang	14.63	23.79	1.020
eng_Latn-hin_Deva	40.18	56.87	0.959
afr_Latn-lvs_Latn	30.64	50.96	0.966
tir_Ethi-yue_Hant	9.80	12.21	0.821
mal_Mlym-cym_Latn	35.18	52.30	0.981
fon_Latn-kin_Latn	8.87	29.52	0.981
nso_Latn-run_Latn	15.78	38.61	1.065
cjk_Latn-ace_Latn	4.61	23.96	1.037
bel_Cyrl-run_Latn	12.26	35.68	1.046
bul_Cyrl-rus_Cyrl	35.62	52.48	0.973
oci_Latn-kea_Latn	18.27	39.12	0.930
ayr_Latn-isl_Latn	10.08	25.38	0.972
wol_Latn-oci_Latn	15.43	33.56	0.937
bul_Cyrl-nso_Latn	19.25	45.11	1.033
afr_Latn-yue_Hant	14.19	16.08	0.843
tir_Ethi-lvs_Latn	17.03	37.75	0.948
eus_Latn-cjk_Latn	3.08	23.00	0.960
jpn_Jpan-tel_Telu	24.50	39.27	0.940
kea_Latn-eng_Latn	44.43	66.47	1.121
jpn_Jpan-mal_Mlym	25.43	39.74	0.963
fra_Latn-ast_Latn	27.99	51.84	1.039
kea_Latn-hin_Deva	29.04	46.71	0.940
urd_Arab-kik_Latn	8.23	28.11	0.938
urd_Arab-snd_Arab	25.29	42.12	1.020
swh_Latn-eng_Latn	42.95	64.00	1.074
kor_Hang-fuv_Latn	3.49	20.75	1.097
ewe_Latn-tel_Telu	15.19	29.31	0.846
hau_Latn-ace_Latn	8.63	31.91	0.928
tir_Ethi-cjk_Latn	1.87	19.15	1.114
tat_Cyrl-ewe_Latn	11.87	33.12	0.944
afr_Latn-lin_Latn	19.44	47.30	1.060
ewe_Latn-mal_Mlym	15.12	29.12	0.877
snd_Arab-kik_Latn	7.29	26.97	1.038
ace_Latn-pes_Arab	19.41	35.49	0.965
swh_Latn-hin_Deva	28.08	45.82	0.917
twi_Latn-hau_Latn	14.73	37.02	1.008
mar_Deva-snd_Arab	23.81	40.24	1.011
mar_Deva-kik_Latn	10.44	31.55	0.930
sin_Sinh-tir_Ethi	13.38	21.53	0.993
por_Latn-hin_Deva	31.79	49.69	0.959
run_Latn-zho_Hans	15.69	15.52	0.798
eus_Latn-lvs_Latn	23.45	44.17	0.926
luo_Latn-eus_Latn	12.80	33.30	0.907
zho_Hans-fon_Latn	3.94	16.93	1.263
tsn_Latn-luo_Latn	11.25	34.22	0.959
yue_Hant-luo_Latn	10.10	33.25	0.936
vie_Latn-fra_Latn	36.88	55.70	1.028
por_Latn-eng_Latn	51.67	70.77	1.059
swh_Latn-afr_Latn	28.76	51.48	0.982
luo_Latn-hau_Latn	12.25	33.57	0.910
ace_Latn-kin_Latn	16.70	38.39	0.986
wol_Latn-zho_Hans	13.79	13.82	0.900
mal_Mlym-ayr_Latn	5.98	29.78	1.180
afr_Latn-kon_Latn	17.22	44.27	1.013
eus_Latn-isl_Latn	22.61	40.09	1.009
arb_Arab-yor_Latn	9.54	24.58	1.109
tam_Taml-yor_Latn	9.42	24.31	1.094
twi_Latn-eus_Latn	14.78	35.91	0.981
ayr_Latn-cjk_Latn	2.56	20.07	0.893
rus_Cyrl-ita_Latn	29.75	50.38	0.957
por_Latn-afr_Latn	35.26	57.11	0.989
bel_Cyrl-tam_Taml	20.92	40.08	0.967
sin_Sinh-cym_Latn	34.03	51.14	0.977
nso_Latn-tam_Taml	24.11	42.28	0.940
kik_Latn-mal_Mlym	15.98	28.93	0.968
hin_Deva-arb_Arab	30.57	46.01	0.916
oci_Latn-por_Latn	46.67	64.32	1.008
pes_Arab-sin_Sinh	29.67	38.54	0.918
fra_Latn-rus_Cyrl	35.32	51.71	0.992
hin_Deva-tsn_Latn	20.20	44.17	0.958
fra_Latn-nso_Latn	19.92	45.38	1.042
tat_Cyrl-wol_Latn	6.15	25.58	1.126
oci_Latn-kor_Hang	23.42	31.79	1.033
kik_Latn-tel_Telu	15.34	27.90	0.884
kin_Latn-luo_Latn	12.85	35.99	0.957
tat_Cyrl-bul_Cyrl	33.19	51.40	0.964
tir_Ethi-isl_Latn	18.70	36.45	0.992
run_Latn-oci_Latn	19.26	38.23	0.913
ast_Latn-ayr_Latn	7.68	30.68	1.041
kea_Latn-afr_Latn	31.86	53.69	0.978
ayr_Latn-lvs_Latn	8.46	25.05	0.964
rus_Cyrl-mar_Deva	20.96	38.92	0.963
eng_Latn-yor_Latn	10.93	26.07	1.121
bul_Cyrl-ast_Latn	25.40	49.38	1.020
cym_Latn-fuv_Latn	4.23	21.98	1.127
mal_Mlym-fin_Latn	23.70	45.47	1.044
lvs_Latn-luo_Latn	10.82	34.55	0.977
bul_Cyrl-zho_Hans	20.62	18.36	0.772
kor_Hang-tam_Taml	24.72	43.07	0.967
kea_Latn-isl_Latn	27.28	44.45	1.018
zho_Hans-vie_Latn	32.02	51.25	1.010
vie_Latn-pes_Arab	25.62	42.46	0.990
tir_Ethi-afr_Latn	18.73	41.87	0.951
ast_Latn-swh_Latn	28.63	51.65	0.940
pes_Arab-mar_Deva	21.35	39.71	0.965
cym_Latn-run_Latn	17.91	40.17	1.016
yor_Latn-kon_Latn	13.00	38.24	0.951
rus_Cyrl-sin_Sinh	26.77	35.70	0.858
hau_Latn-tel_Telu	23.41	38.23	0.934
afr_Latn-yor_Latn	9.72	25.18	1.124
zho_Hans-tso_Latn	15.79	41.95	1.104
tso_Latn-cym_Latn	30.84	46.81	0.963
hin_Deva-twi_Latn	12.41	35.24	0.989
arb_Arab-kon_Latn	16.59	43.47	1.010
ayr_Latn-eng_Latn	10.42	30.90	1.293
twi_Latn-kor_Hang	11.70	20.26	1.051
tam_Taml-kon_Latn	14.32	41.47	1.024
twi_Latn-por_Latn	22.26	40.62	0.965
luo_Latn-kea_Latn	7.00	23.54	0.762
ace_Latn-fra_Latn	27.88	45.22	0.998
hau_Latn-mal_Mlym	23.24	37.87	0.954
ayr_Latn-hin_Deva	10.52	23.94	0.883
ewe_Latn-ace_Latn	5.37	26.66	0.900
por_Latn-isl_Latn	29.46	46.85	1.018
eng_Latn-kon_Latn	18.77	45.73	0.995
kon_Latn-ewe_Latn	10.22	30.57	0.940
pes_Arab-ita_Latn	28.60	49.64	0.944
oci_Latn-eus_Latn	26.24	49.13	1.040
fra_Latn-oci_Latn	36.11	55.12	0.970
jpn_Jpan-ace_Latn	6.04	28.41	0.961
mal_Mlym-swh_Latn	25.06	49.02	0.966
run_Latn-nso_Latn	16.89	40.45	0.999
cjk_Latn-mal_Mlym	8.49	21.74	1.103
hin_Deva-urd_Arab	26.40	44.76	0.957
eus_Latn-afr_Latn	25.69	48.76	0.960
cjk_Latn-tel_Telu	9.85	20.78	0.981
swh_Latn-isl_Latn	26.38	43.67	1.000
ast_Latn-fin_Latn	28.21	48.59	0.985
run_Latn-rus_Cyrl	22.10	38.88	0.968
wol_Latn-ast_Latn	13.87	34.22	1.018
isl_Latn-luo_Latn	10.99	34.13	0.972
fin_Latn-tir_Ethi	13.60	21.90	1.026
lin_Latn-luo_Latn	11.98	35.12	0.947
wol_Latn-rus_Cyrl	15.63	31.97	0.999
run_Latn-ast_Latn	17.48	38.71	0.998
eng_Latn-lin_Latn	21.46	48.31	1.024
swh_Latn-lvs_Latn	24.44	45.03	0.972
wol_Latn-nso_Latn	14.52	36.58	0.995
bul_Cyrl-oci_Latn	29.42	49.91	0.938
kea_Latn-cjk_Latn	3.74	23.58	1.001
cym_Latn-tam_Taml	31.40	49.92	0.973
arb_Arab-yue_Hant	12.07	14.36	0.829
fin_Latn-cym_Latn	35.76	53.00	1.010
tam_Taml-yue_Hant	11.44	13.78	0.841
ast_Latn-jpn_Jpan	16.44	22.57	0.929
yor_Latn-yue_Hant	8.70	10.84	0.819
kik_Latn-ace_Latn	5.79	26.57	0.981
oci_Latn-hau_Latn	25.24	49.80	1.062
kor_Hang-run_Latn	14.13	36.27	1.008
eus_Latn-eng_Latn	32.33	56.93	1.138
ast_Latn-bel_Cyrl	22.89	38.01	0.886
eus_Latn-hin_Deva	24.99	42.94	0.940
por_Latn-lvs_Latn	30.19	50.43	0.965
eng_Latn-yue_Hant	16.78	18.06	0.862
swh_Latn-cjk_Latn	3.23	23.23	0.951
kon_Latn-bul_Cyrl	19.51	36.84	0.918
kon_Latn-wol_Latn	6.17	24.11	1.077
tir_Ethi-hin_Deva	20.58	38.53	0.893
mal_Mlym-bel_Cyrl	22.03	37.28	0.889
vie_Latn-kin_Latn	20.83	44.52	1.018
mal_Mlym-jpn_Jpan	15.48	21.97	0.966
ita_Latn-snd_Arab	20.17	37.46	1.062
ita_Latn-kik_Latn	12.28	33.94	0.968
tir_Ethi-eng_Latn	20.92	47.72	1.294
fra_Latn-zho_Hans	21.57	19.52	0.798
luo_Latn-por_Latn	20.82	38.88	0.926
nso_Latn-fuv_Latn	5.30	22.61	1.038
yor_Latn-lin_Latn	14.56	39.76	0.959
bel_Cyrl-fuv_Latn	2.80	20.83	1.155
hin_Deva-tat_Cyrl	26.17	44.37	0.989
twi_Latn-kea_Latn	6.46	22.14	0.778
ayr_Latn-afr_Latn	10.23	29.20	0.908
arb_Arab-lin_Latn	18.08	46.24	1.040
kea_Latn-lvs_Latn	26.37	47.03	0.974
tam_Taml-lin_Latn	16.17	43.99	1.034
por_Latn-cjk_Latn	3.71	24.09	0.969
tso_Latn-tir_Ethi	10.28	17.68	0.875
fuv_Latn-luo_Latn	7.31	27.67	1.000
